latitude,longitude,year,week,fire_cnt_before,fire_before,fire_cnt_last_year,fire_last_year,fire_cnt_last_year_same_week,fire_last_year_same_week,Mandal_Nam,Dist_Name,confidence
16.13,78.76,2022,11,0.117647059,0.039215686,0.098039216,0.039215686,0,0,Amrabad,Nagarkurnool,88.88637261
16.13,78.77,2022,11,0.235294118,0.039215686,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,91.0
16.13,78.78,2022,11,0.098039216,0.019607843,0.098039216,0.039215686,2,1,Amrabad,Nagarkurnool,85.0
16.14,78.53,2022,8,0.058823529,0.019607843,0.058823529,0.039215686,0,0,Kollapur,Nagarkurnool,60.93216658
16.14,78.59,2022,8,0.058823529,0.019607843,0.137254902,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.14,78.6,2022,8,0.078431373,0.039215686,0.117647059,0.039215686,0,0,Amrabad,Nagarkurnool,68.88637261
16.14,78.63,2022,10,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
16.14,78.64,2022,10,0.215686275,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,91.0
16.14,78.65,2022,10,0.156862745,0.039215686,0.0,0.0,0,0,Amrabad,Nagarkurnool,86.0
16.14,78.7,2022,11,0.117647059,0.019607843,0.039215686,0.039215686,0,0,Amrabad,Nagarkurnool,86.0
16.14,78.73,2022,11,0.117647059,0.039215686,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,88.88637261
16.14,78.74,2022,11,0.117647059,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.14,78.76,2022,11,0.098039216,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.14,78.77,2022,11,0.098039216,0.019607843,0.098039216,0.039215686,3,1,Amrabad,Nagarkurnool,85.0
16.14,78.8,2022,11,0.058823529,0.019607843,0.019607843,0.019607843,1,1,Amrabad,Nagarkurnool,60.93216658
16.15,78.49,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.93216658
16.15,78.54,2022,8,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Kollapur,Nagarkurnool,60.93216658
16.15,78.58,2022,8,0.098039216,0.039215686,0.098039216,0.019607843,0,0,Kollapur,Nagarkurnool,68.88637261
16.15,78.63,2022,10,0.117647059,0.019607843,0.098039216,0.019607843,0,0,Amrabad,Nagarkurnool,86.0
16.15,78.64,2022,10,0.137254902,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,87.0
16.15,78.65,2022,10,0.058823529,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.15,78.72,2022,11,0.078431373,0.019607843,0.176470588,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.15,78.73,2022,11,0.098039216,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.15,78.74,2022,11,0.098039216,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.15,78.75,2022,11,0.156862745,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,88.0
16.15,78.76,2022,11,0.058823529,0.019607843,0.039215686,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.15,78.79,2022,11,0.098039216,0.019607843,0.058823529,0.039215686,1,1,Amrabad,Nagarkurnool,85.0
16.15,78.81,2022,11,0.078431373,0.019607843,0.196078431,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.16,78.56,2022,8,0.078431373,0.039215686,0.039215686,0.039215686,0,0,Kollapur,Nagarkurnool,68.88637261
16.16,78.57,2022,9,0.058823529,0.019607843,0.019607843,0.019607843,1,1,Kollapur,Nagarkurnool,60.93216658
16.16,78.58,2022,9,0.098039216,0.039215686,0.0,0.0,0,0,Kollapur,Nagarkurnool,68.88637261
16.16,78.59,2022,9,0.156862745,0.039215686,0.078431373,0.039215686,1,1,Amrabad,Nagarkurnool,87.0
16.16,78.62,2022,10,0.058823529,0.019607843,0.117647059,0.058823529,1,1,Amrabad,Nagarkurnool,60.93216658
16.16,78.63,2022,10,0.058823529,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.16,78.64,2022,10,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.16,78.65,2022,10,0.078431373,0.039215686,0.098039216,0.039215686,0,0,Amrabad,Nagarkurnool,68.88637261
16.16,78.66,2022,10,0.117647059,0.039215686,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.16,78.71,2022,11,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.16,78.8,2022,11,0.058823529,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.17,78.58,2022,9,0.098039216,0.039215686,0.117647059,0.039215686,1,1,Amrabad,Nagarkurnool,88.88637261
16.17,78.59,2022,9,0.058823529,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.17,78.61,2022,8,0.156862745,0.039215686,0.156862745,0.039215686,0,0,Amrabad,Nagarkurnool,85.0
16.17,78.61,2022,9,0.156862745,0.039215686,0.156862745,0.039215686,2,1,Amrabad,Nagarkurnool,68.88637261
16.17,78.63,2022,10,0.117647059,0.039215686,0.196078431,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.17,78.69,2022,10,0.137254902,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,87.0
16.17,78.7,2022,10,0.117647059,0.039215686,0.117647059,0.019607843,0,0,Amrabad,Nagarkurnool,88.88637261
16.17,78.73,2022,11,0.137254902,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,87.0
16.17,78.76,2022,11,0.078431373,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.17,78.8,2022,11,0.078431373,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.18,78.49,2022,9,0.078431373,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,80.93216658
16.18,78.5,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,60.93216658
16.18,78.57,2022,8,0.098039216,0.039215686,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,88.88637261
16.18,78.58,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.18,78.59,2022,9,0.098039216,0.019607843,0.117647059,0.039215686,4,1,Amrabad,Nagarkurnool,85.0
16.18,78.61,2022,8,0.156862745,0.019607843,0.039215686,0.039215686,0,0,Amrabad,Nagarkurnool,88.0
16.18,78.68,2022,10,0.117647059,0.039215686,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,85.0
16.18,78.69,2022,10,0.176470588,0.019607843,0.058823529,0.019607843,0,0,Amrabad,Nagarkurnool,89.0
16.18,78.72,2022,11,0.058823529,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,60.93216658
16.18,78.73,2022,11,0.078431373,0.019607843,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,80.93216658
16.18,78.74,2022,11,0.137254902,0.019607843,0.078431373,0.019607843,0,0,Amrabad,Nagarkurnool,87.0
16.18,78.8,2022,11,0.137254902,0.019607843,0.117647059,0.019607843,0,0,Amrabad,Nagarkurnool,87.0
16.19,78.5,2022,9,0.098039216,0.019607843,0.0,0.0,0,0,Kollapur,Nagarkurnool,85.0
16.19,78.51,2022,9,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.19,78.52,2022,9,0.078431373,0.039215686,0.019607843,0.019607843,0,0,Amrabad,Nagarkurnool,68.88637261
16.19,78.61,2022,8,0.058823529,0.019607843,0.039215686,0.019607843,0,0,Amrabad,Nagarkurnool,60.93216658
16.19,78.62,2022,8,0.078431373,0.019607843,0.058823529,0.039215686,0,0,Amrabad,Nagarkurnool,80.93216658
16.19,78.63,2022,8,0.058823529,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,60.93216658
16.19,78.73,2022,11,0.098039216,0.019607843,0.0,0.0,0,0,Amrabad,Nagarkurnool,85.0
