latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,Mandal_Nam,Dist_Name,confidence
18.37584,80.68623,2023-02-26,6:58,N,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,100
18.37584,80.68623,2023-02-26,6:58,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,100
18.37749,80.69318,2023-02-26,6:58,N,VIIRS,2023,2,8,24h,Venkatapuram,Mulugu,50
18.37749,80.69318,2023-02-26,6:58,N,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.37749,80.69318,2023-02-26,6:58,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.3785,80.58124,2023-02-22,8:11,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.38166,80.57826,2023-02-22,7:20,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.38325,78.04155,2023-02-21,8:32,N,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.38773,80.58563,2023-02-23,8:41,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.38852,77.96133,2023-02-26,7:45,1,VIIRS,2023,2,8,24h,Gandhari,Kamareddy,50
18.38852,77.96133,2023-02-26,7:45,1,VIIRS,2023,2,8,48h,Gandhari,Kamareddy,50
18.38852,77.96133,2023-02-26,7:45,1,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.3944,77.96235,2023-02-23,20:23,N,VIIRS,2023,2,8,7d,Banswada,Kamareddy,50
18.40177,80.59973,2023-02-25,19:46,N,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.40177,80.59973,2023-02-25,19:46,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.40304,80.58921,2023-02-25,19:46,N,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.40304,80.58921,2023-02-25,19:46,N,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.40461,80.60175,2023-02-25,20:36,1,VIIRS,2023,2,8,48h,Venkatapuram,Mulugu,50
18.40461,80.60175,2023-02-25,20:36,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.40578,80.71602,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.40635,79.93809,2023-02-27,7:28,1,VIIRS,2023,2,9,24h,Bhupalpally,Jayashankar Bhupalpally,50
18.40635,79.93809,2023-02-27,7:28,1,VIIRS,2023,2,9,48h,Bhupalpally,Jayashankar Bhupalpally,50
18.40635,79.93809,2023-02-27,7:28,1,VIIRS,2023,2,9,7d,Bhupalpally,Jayashankar Bhupalpally,50
18.40643,80.60004,2023-02-25,16:28,T,MODIS,2023,2,8,48h,Venkatapuram,Mulugu,76
18.40643,80.60004,2023-02-25,16:28,T,MODIS,2023,2,8,7d,Venkatapuram,Mulugu,76
18.40654,80.71372,2023-02-24,8:24,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.40665,80.59092,2023-02-25,20:36,1,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.40665,80.59092,2023-02-25,20:36,1,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.40769,80.58991,2023-02-25,19:46,N,VIIRS,2023,2,8,48h,Wazeed,Mulugu,50
18.40769,80.58991,2023-02-25,19:46,N,VIIRS,2023,2,8,7d,Wazeed,Mulugu,50
18.4102,79.95286,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Bhupalpally,Jayashankar Bhupalpally,50
18.4102,79.95286,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Bhupalpally,Jayashankar Bhupalpally,50
18.4102,79.95286,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Bhupalpally,Jayashankar Bhupalpally,50
18.41058,79.14036,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Karimnagar,Karimnagar,50
18.41099,80.70654,2023-02-21,20:10,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.41172,80.14039,2023-02-27,8:20,N,VIIRS,2023,2,9,24h,Bhupalpally,Jayashankar Bhupalpally,50
18.41172,80.14039,2023-02-27,8:20,N,VIIRS,2023,2,9,48h,Bhupalpally,Jayashankar Bhupalpally,50
18.41172,80.14039,2023-02-27,8:20,N,VIIRS,2023,2,9,7d,Bhupalpally,Jayashankar Bhupalpally,50
18.4143,80.7231,2023-02-24,20:06,N,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
18.41514,78.07354,2023-02-21,21:01,N,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.41636,78.0735,2023-02-21,21:01,N,VIIRS,2023,2,8,7d,Gandhari,Kamareddy,50
18.41639,80.70446,2023-02-21,7:39,1,VIIRS,2023,2,8,7d,Venkatapuram,Mulugu,50
