latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,Mandal_Nam,Dist_Name,confidence
16.61972,77.85182,2023-02-11,817,N,VIIRS,2023,2,6,Devarkadra,Mahabubnagar,50
16.62339,77.85128,2023-02-11,817,N,VIIRS,2023,2,6,Devarkadra,Mahabubnagar,50
16.69505,77.63466,2023-02-12,707,1,VIIRS,2023,2,6,Narayanpet,Narayanpet,50
16.69556,77.63381,2023-02-12,707,1,VIIRS,2023,2,6,Narayanpet,Narayanpet,50
16.69665,77.5165,2023-02-12,707,1,VIIRS,2023,2,6,Utkoor,Narayanpet,50
16.698,77.63441,2023-02-12,847,1,VIIRS,2023,2,6,Narayanpet,Narayanpet,50
16.71048,79.60754,2023-02-12,800,N,VIIRS,2023,2,6,Damaracherla,Nalgonda,50
16.71108,79.60756,2023-02-12,847,1,VIIRS,2023,2,6,Damaracherla,Nalgonda,50
16.85914,79.67954,2023-02-11,817,N,VIIRS,2023,2,6,Nereducherla,Suryapet,50
16.88387,78.23055,2023-02-11,726,1,VIIRS,2023,2,6,Rajapur,Mahabubnagar,50
16.88449,78.23122,2023-02-11,726,1,VIIRS,2023,2,6,Rajapur,Mahabubnagar,50
16.8975,80.365,2023-02-11,726,1,VIIRS,2023,2,6,Madhira,Khammam,50
16.91297,78.2074,2023-02-12,800,N,VIIRS,2023,2,6,Balanagar,Mahabubnagar,50
16.95155,80.3179,2023-02-12,455,T,MODIS,2023,2,6,Bonakal,Khammam,61
