latitude,longitude,acq_date,acq_time,satellite,instrument,year,month,week,duration,REGIONNAME,HRname,confidence
6.81909,35.38454,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.82241,35.93957,2023-03-24,11:17,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.82438,35.98967,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.82582,35.41833,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.82592,35.37596,2023-03-30,11:06,1,VIIRS,2023,3,13,24h,SNNPR,SNNPR,50
6.82592,35.37596,2023-03-30,11:06,1,VIIRS,2023,3,13,48h,SNNPR,SNNPR,50
6.82592,35.37596,2023-03-30,11:06,1,VIIRS,2023,3,13,7d,SNNPR,SNNPR,50
6.82934,35.98346,2023-03-25,10:13,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.82973,35.98552,2023-03-25,10:13,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.83021,35.11457,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.83275,35.37503,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.83677,35.97749,2023-03-24,10:30,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.83986,35.37748,2023-03-25,11:00,1,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
6.84067,35.97312,2023-03-25,10:13,N,VIIRS,2023,3,12,7d,SNNPR,SNNPR,50
